track_name,artist_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,14,553,147,141381703.0
LALA,Myke Towers,1,2023,3,23,1474,48,133716286.0
vampire,Olivia Rodrigo,1,2023,6,30,1397,113,140003974.0
Cruel Summer,Taylor Swift,1,2019,8,23,7858,100,800840817.0
WHERE SHE GOES,Bad Bunny,1,2023,5,18,3133,50,303236322.0
Sprinter,"Dave, Central Cee",2,2023,6,1,2186,91,183706234.0
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,16,3090,50,725980112.0
Columbia,Quevedo,1,2023,7,7,714,43,58149378.0
fukumean,Gunna,1,2023,5,15,1096,83,95217315.0
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,3,17,2953,44,553634067.0
un x100to,"Bad Bunny, Grupo Frontera",2,2023,4,17,2876,40,505671438.0
Super Shy,NewJeans,1,2023,7,7,422,55,58255150.0
Daylight,David Kushner,1,2023,4,14,3528,98,387570742.0
As It Was,Harry Styles,1,2022,3,31,23575,130,2513188493.0
Kill Bill,SZA,1,2022,12,8,8109,77,1163093654.0
Cupid - Twin Ver.,Fifty Fifty,1,2023,2,24,2942,77,496795686.0
Classy 101,"Feid, Young Miko",2,2023,3,31,2610,40,335222234.0
Like Crazy,Jimin,1,2023,3,24,596,68,363369738.0
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,2023,6,22,332,26,86444842.0
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,1,2023,7,7,516,38,52135248.0
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,2023,5,31,1313,40,200647221.0
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",3,2023,6,2,1945,87,115364561.0
SABOR FRESA,Fuerza Regida,1,2023,6,22,250,26,78300654.0
Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",2,2022,3,25,7112,77,899183384.0
MOJABI GHOST,"Tainy, Bad Bunny",2,2023,6,29,859,40,61245289.0
Last Night,Morgan Wallen,1,2023,1,31,2420,19,429829812.0
Dance The Night (From Barbie The Album),Dua Lipa,1,2023,5,25,2988,101,127408954.0
Rush,Troye Sivan,1,2023,7,13,864,78,22581161.0
TULUM,"Peso Pluma, Grupo Frontera",2,2023,6,28,266,34,52294266.0
Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,2022,12,2,6036,88,843957510.0
Anti-Hero,Taylor Swift,1,2022,10,21,9082,56,999748277.0
TQG,"Karol G, Shakira",2,2023,2,23,4284,49,618990393.0
Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2,2023,4,7,672,34,188933502.0
Blank Space,Taylor Swift,1,2014,1,1,11434,53,1355959075.0
Style,Taylor Swift,1,2014,1,1,7830,42,786181836.0
TQM,Fuerza Regida,1,2023,5,19,584,28,176553476.0
El Azul,"Junior H, Peso Pluma",2,2023,2,10,692,25,354495408.0
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,2018,10,9,24094,78,2808096550.0
I'm Good (Blue),"Bebe Rexha, David Guetta",2,2022,8,26,12482,80,1109433169.0
See You Again,"Tyler, The Creator, Kali Uchis",3,2017,7,21,13387,64,1047101291.0
Angels Like You,Miley Cyrus,1,2020,11,27,3372,19,570515054.0
Die For You,The Weeknd,1,2016,11,24,2483,59,1647990401.0
Starboy,"The Weeknd, Daft Punk",2,2016,9,21,29536,79,2565529693.0
Die For You - Remix,"Ariana Grande, The Weeknd",2,2023,2,24,3408,47,518745108.0
El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,2023,6,2,1298,38,107753850.0
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,2023,4,6,4277,66,177740666.0
AMARGURA,Karol G,1,2023,2,24,1133,39,153372011.0
(It Goes Like) Nanana - Edit,Peggy Gou,1,2023,6,15,2259,59,57876440.0
Another Love,Tom Odell,1,2012,10,15,18371,83,1813673666.0
Blinding Lights,The Weeknd,1,2019,11,29,43899,69,3703895074.0
Moonlight,Kali Uchis,1,2023,2,24,2649,42,256483385.0
La Bachata,Manuel Turizo,1,2022,5,26,6804,45,1214083358.0
Tï¿½ï¿,"dennis, MC Kevin o Chris",2,2023,5,4,731,15,111947664.0
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,2023,2,3,5184,41,156338624.0
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,2022,6,24,3107,39,720434240.0
BESO,"Rauw Alejandro, ROSALï¿½",2,2023,3,24,4053,50,357925728.0
Hey Mor,"Ozuna, Feid",2,2022,10,6,4637,38,674072710.0
Yellow,Chris Molitor,1,1999,1,1,31358,43,1755214421.0
Karma,Taylor Swift,1,2022,10,21,3818,23,404562836.0
People,Libianca,1,2022,12,2,3506,56,373199958.0
Overdrive,Post Malone,1,2023,7,14,410,36,14780425.0
Enchanted (Taylor's Version),Taylor Swift,1,2023,7,7,148,24,39578178.0
BABY HELLO,"Rauw Alejandro, Bizarrap",2,2023,6,23,1004,35,54266102.0
Heat Waves,Glass Animals,1,2020,6,28,22543,63,2557975762.0
golden hour,JVKE,1,2022,7,15,4511,36,751134527.0
Sweater Weather,The Neighbourhood,1,2012,5,14,16413,61,2282771485.0
