genero,artista,cancion,popularidad,ano
reggaeton,Bad Bunny,DtMF,98,2025
reggaeton,Bad Bunny,BAILE INoLVIDABLE,97,2025
reggaeton,Bad Bunny,NUEVAYoL,94,2025
reggaeton,Bad Bunny,EoO,94,2025
reggaeton,Bad Bunny,VOY A LLeVARTE PA PR,93,2025
reggaeton,Bad Bunny,VeLDÁ,93,2025
reggaeton,Bad Bunny,Qué Pasaría...,91,2024
reggaeton,Bad Bunny,KLOuFRENS,90,2025
reggaeton,Bad Bunny,WELTiTA,90,2025
reggaeton,Bad Bunny,EL CLúB,86,2025
reggaeton,Rauw Alejandro,Qué Pasaría...,91,2024
reggaeton,Rauw Alejandro,Khé?,89,2024
reggaeton,Rauw Alejandro,Santa,80,2024
reggaeton,Rauw Alejandro,Todo De Ti,81,2021
reggaeton,Rauw Alejandro,LOKERA,82,2023
reggaeton,Rauw Alejandro,Tiroteo - Remix,82,2021
reggaeton,Rauw Alejandro,Tú Con Él,82,2024
reggaeton,Rauw Alejandro,Desesperados,80,2021
reggaeton,Rauw Alejandro,La Old Skul,81,2021
reggaeton,Rauw Alejandro,DILUVIO,80,2023
reggaeton,Feid,LUNA,89,2023
reggaeton,Feid,57,85,2024
reggaeton,Feid,PERRO NEGRO,85,2023
reggaeton,Feid,Feliz Cumpleaños Ferxxo,82,2022
reggaeton,Feid,SE ME OLVIDA,83,2024
reggaeton,Feid,Hey Mor,82,2022
reggaeton,Feid,CLASSY 101,79,2023
reggaeton,Feid,SORRY 4 THAT MUCH,82,2024
reggaeton,Feid,Normal,80,2022
reggaeton,Feid,LA INOCENTE,80,2022
reggaeton,KAROL G,Si Antes Te Hubiera Conocido,93,2024
reggaeton,KAROL G,57,85,2024
reggaeton,KAROL G,PROVENZA,83,2023
reggaeton,KAROL G,QLONA,82,2023
reggaeton,KAROL G,TQG,83,2023
reggaeton,KAROL G,AMARGURA,83,2023
reggaeton,KAROL G,MI EX TENÍA RAZÓN,82,2023
reggaeton,KAROL G,X SI VOLVEMOS,79,2023
reggaeton,KAROL G,MAMIII,77,2022
reggaeton,KAROL G,UNA NOCHE EN MEDELLÍN - REMIX,78,2023
reggaeton,J Balvin,LA CANCIÓN,87,2019
reggaeton,J Balvin,X (feat. Maluma & Ozuna) - Remix,85,2018
reggaeton,J Balvin,57,85,2024
reggaeton,J Balvin,Azul,84,2020
reggaeton,J Balvin,No Me Conoce - Remix,84,2019
reggaeton,J Balvin,Mi Gente,77,2018
reggaeton,J Balvin,QUE PRETENDES,81,2019
reggaeton,J Balvin,UN PESO,80,2019
reggaeton,J Balvin,Rio,80,2025
reggaeton,J Balvin,Downtown,79,2017
reggaeton,Maluma,57,85,2024
reggaeton,Maluma,Borro Cassette,84,2015
reggaeton,Maluma,Según Quién,82,2023
reggaeton,Maluma,Hawái,83,2020
reggaeton,Maluma,"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",82,2016
reggaeton,Maluma,El Perdedor,83,2015
reggaeton,Maluma,Cosas Pendientes,82,2024
reggaeton,Maluma,POR QUÉ SERÁ,77,2024
reggaeton,Maluma,Créeme,76,2019
reggaeton,Maluma,Felices los 4,77,2018
reggaeton,Myke Towers,DEGENERE 👑 (feat. benny blanco),84,2024
reggaeton,Myke Towers,LALA,83,2023
reggaeton,Myke Towers,ADIVINO,80,2024
reggaeton,Myke Towers,ILY,81,2025
reggaeton,Myke Towers,La Curiosidad,81,2020
reggaeton,Myke Towers,LA FALDA,80,2023
reggaeton,Myke Towers,Nueva Era,80,2024
reggaeton,Myke Towers,Pareja Del Año,76,2022
reggaeton,Myke Towers,MAL DE AMORES,78,2025
reggaeton,Myke Towers,Piensan,77,2020
reggaeton,Don Omar,Danza Kuduro,84,2010
reggaeton,Don Omar,Dile,84,2003
reggaeton,Don Omar,Salió El Sol,82,2006
reggaeton,Don Omar,Virtual Diva,78,2009
reggaeton,Don Omar,Ojitos Chiquitos,79,2006
reggaeton,Don Omar,Guaya Guaya,79,2015
reggaeton,Don Omar,Dutty Love,78,2012
reggaeton,Don Omar,Taboo,77,2010
reggaeton,Don Omar,Hooka,77,2010
reggaeton,Don Omar,Dale Don Dale,76,2003
reggaeton,Ozuna,Se Preparó,83,2017
reggaeton,Ozuna,Hey Mor,82,2022
reggaeton,Ozuna,Diles,81,2016
reggaeton,Ozuna,Más Que Tú,80,2025
reggaeton,Ozuna,Vaina Loca,79,2018
reggaeton,Ozuna,Despeinada,78,2020
reggaeton,Ozuna,Adicto (with Anuel AA & Ozuna),78,2019
reggaeton,Ozuna,Ahora Dice,77,2017
reggaeton,Ozuna,Criminal,77,2017
